ts,public_id,date,channel,status,provider_message
2025-08-26T20:40:21.540592+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T20:51:19.505417+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T21:17:08.851452+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T21:37:30.528760+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T21:50:59.428670+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T22:18:11.633791+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T22:40:47.537586+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T22:51:20.419385+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T23:17:29.560131+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T23:38:01.157727+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-26T23:51:07.344594+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T01:27:35.524889+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T02:50:58.874192+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T03:34:37.126300+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T03:54:23.044329+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T04:23:54.565533+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T04:43:08.077167+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T04:54:12.891728+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T05:18:54.540330+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T05:40:52.610628+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T05:51:46.059580+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T06:28:44.095783+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T06:50:09.148353+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T07:18:27.791840+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T07:38:39.173753+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T07:51:11.537090+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T08:26:27.587916+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T08:47:49.812338+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T09:20:49.516347+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T09:40:56.500863+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T09:51:55.648031+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T10:19:49.665897+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T10:42:04.968127+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T10:52:43.946465+00:00,demo,2025-08-27,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T16:24:44.135215+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T16:46:47.987414+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T17:16:59.873998+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T17:40:11.074801+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T17:51:01.303308+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T18:27:55.647843+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T18:48:04.251416+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T19:16:07.932244+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T19:37:32.609198+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T19:51:07.656474+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T20:21:17.825887+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T20:41:03.977887+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
2025-08-27T20:51:56.204244+00:00,demo,2025-08-28,feishu,ok,"{""StatusCode"": 0, ""StatusMessage"": ""success"", ""code"": 0, ""data"": {}, ""msg"": ""success""}"
